Date,Time ofgreatest eclipse(TDT),Saros,Type,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Ref(s),Gamma
"February 5, 2046",23:06:26,141,Annular,0.923,9:42,4°48′N 171°24′W﻿ / ﻿4.8°N 171.4°W,310,190,"Annular: Papua New Guinea, Hawaii, California, Oregon, IdahoPartial: Australia, western United States",[a][9],
"August 2, 2046",10:21:13,146,Total,1.053,4:51,12°42′S 15°12′E﻿ / ﻿12.7°S 15.2°E,206,128,"Total: Brazil, Angola, east Namibia, Botswana, South Africa, Swaziland, south Mozambique Partial: Africa",[a][9],
"January 26, 2047",01:33:18,151,Partial,0.891,—,62°54′N 111°42′E﻿ / ﻿62.9°N 111.7°E,—,—,"Partial: east Asia, Alaska",[a][9],
"June 23, 2047",10:52:31,118,Partial,0.313,—,65°48′N 178°00′W﻿ / ﻿65.8°N 178.0°W,—,—,"Partial: north Canada, Greenland, northeast Asia",[a][9],
"July 22, 2047",22:36:17,156,Partial,0.361,—,63°24′S 160°12′E﻿ / ﻿63.4°S 160.2°E,—,—,"Partial: southeast Australia, New Zealand",[a][9],
"December 16, 2047",23:50:12,123,Partial,0.882,—,66°24′S 6°36′W﻿ / ﻿66.4°S 6.6°W,—,—,"Partial: Antarctica, south Chile, south Argentina",[a][9],
"June 11, 2048",12:58:53,128,Annular,0.944,4:58,63°42′N 11°30′W﻿ / ﻿63.7°N 11.5°W,272,169,"Annular: midwest United States, Quebec, Ontario, Greenland, Iceland, Norway, Sweden, Russia, Afghanistan Partial: North America, Caribbean, north Africa, Europe, west Asia",[a][9],
"December 5, 2048",15:35:27,133,Total,1.044,3:28,46°06′S 56°24′W﻿ / ﻿46.1°S 56.4°W,160,99,"Total: Chile, Argentina, Namibia, Botswana Partial: south South America, southwest Africa",[a][9],
"May 31, 2049",13:59:59,138,Annular,0.963,4:45,15°18′N 29°54′W﻿ / ﻿15.3°N 29.9°W,134,83,"Annular: Peru, Ecuador, Colombia, Venezuela, Guyana, Senegal, Mali, Burkina Faso, Ghana, Nigeria Partial: southeast United States, Central America, South America, Africa, south Europe",[a][9],
"November 25, 2049",05:33:48,143,Hybrid,1.006,0:38,3°48′S 95°12′E﻿ / ﻿3.8°S 95.2°E,21,13,"Hybrid: Saudi Arabia, Yemen, Malaysia, Indonesia Partial: east Africa, south Asia, East Indies, Australia",[a][9],
"May 20, 2050",20:42:50,148,Hybrid,1.004,0:21,40°06′S 123°42′W﻿ / ﻿40.1°S 123.7°W,27,17,"Hybrid: south Pacific Partial: New Zealand, southwest South America",[a][9],
"November 14, 2050",13:30:53,153,Partial,0.887,—,69°30′N 1°00′E﻿ / ﻿69.5°N 1.0°E,—,—,"Partial: northeast United States, east Canada, north Africa, Europe",[a][9],
"April 11, 2051",02:10:39,120,Partial,0.985,—,71°36′N 32°12′E﻿ / ﻿71.6°N 32.2°E,—,—,"Partial: Asia, Alaska, Canada, Greenland",[a][10],
"October 4, 2051",21:02:14,125,Partial,0.602,—,72°00′S 117°42′E﻿ / ﻿72.0°S 117.7°E,—,—,"Partial: Antarctica, Australia, New Zealand",[a][10],
"March 30, 2052",18:31:53,130,Total,1.047,4:08,22°24′N 102°30′W﻿ / ﻿22.4°N 102.5°W,164,102,"Total: central Pacific, Mexico, United States, central Atlantic Partial: Central and North America, north South America",[a][10],
"September 22, 2052",23:39:10,135,Annular,0.973,2:51,25°42′S 175°00′E﻿ / ﻿25.7°S 175.0°E,106,66,"Annular: Australia, south Pacific Partial: New Zealand, Antarctica, West Indies",[a][10],
"March 20, 2053",07:08:19,140,Annular,0.992,0:50,23°00′S 83°00′E﻿ / ﻿23.0°S 83.0°E,31,19,"Annular: central Indian Ocean, Indonesia Partial: Africa, Indies, Australia, Antarctica",[a][10],
"September 12, 2053",09:34:09,145,Total,1.033,3:04,21°30′N 41°42′E﻿ / ﻿21.5°N 41.7°E,116,72,"Total: Spain, Morocco, Algeria, Tunisia, Libya, Egypt, Saudi Arabia, Maldives, Indonesia Partial: Greenland, Africa, Europe, Asia",[a][10],
"March 9, 2054",12:33:40,150,Partial,0.668,—,72°00′S 97°54′E﻿ / ﻿72.0°S 97.9°E,—,—,"Partial: Antarctica, South Africa, Madagascar, Chile",[a][10],
"August 3, 2054",18:04:02,117,Partial,0.066,—,69°48′S 121°18′W﻿ / ﻿69.8°S 121.3°W,—,—,Partial: Antarctica,[a][10],
"September 2, 2054",01:09:34,155,Partial,0.979,—,71°42′N 82°18′W﻿ / ﻿71.7°N 82.3°W,—,—,"Partial: Asia, United States, Canada, Greenland",[a][10],
"January 27, 2055",17:54:05,122,Partial,0.693,—,69°30′N 112°12′W﻿ / ﻿69.5°N 112.2°W,—,—,"Partial: Canada, United States, Mexico, Cuba",[a][10],
"July 24, 2055",09:57:50,127,Total,1.036,3:17,33°18′S 25°48′E﻿ / ﻿33.3°S 25.8°E,202,126,"Total: South Africa Partial: Africa, Antarctica",[a][10],
"January 16, 2056",22:16:45,132,Annular,0.976,2:52,3°54′N 153°30′W﻿ / ﻿3.9°N 153.5°W,95,59,"Annular: central Pacific, Mexico Partial: New Zealand, western North America",[a][10],
"July 12, 2056",20:21:59,137,Annular,0.988,1:26,19°24′N 123°42′W﻿ / ﻿19.4°N 123.7°W,43,27,"Annular: central Pacific, Colombia, Ecuador, Peru, Brazil Partial: south North America, Central America, north South America",[a][10],
"January 5, 2057",09:47:52,142,Total,1.029,2:29,39°12′S 35°12′E﻿ / ﻿39.2°S 35.2°E,102,63,"Total: southern Atlantic, southern Indian Ocean Partial: Africa, Antarctica, Australia",[a][10],
"July 1, 2057",23:40:15,147,Annular,0.946,4:23,71°30′N 176°12′W﻿ / ﻿71.5°N 176.2°W,298,185,"Annular: China, Mongolia, Russia, Canada, United States Partial: Asia, North America",[a][10],
"December 26, 2057",01:14:35,152,Total,1.035,1:50,84°54′S 21°48′E﻿ / ﻿84.9°S 21.8°E,355,221,Total: AntarcticaPartial: Australia,[a][10],
"May 22, 2058",10:39:25,119,Partial,0.414,—,63°30′S 61°06′E﻿ / ﻿63.5°S 61.1°E,—,—,"Partial: South Africa, Madagascar",[a][10],
"June 21, 2058",00:19:35,157,Partial,0.126,—,65°54′N 9°54′E﻿ / ﻿65.9°N 9.9°E,—,—,"Partial: Russia, Greenland, Norway, Sweden, Finland",[a][10],
"November 16, 2058",03:23:07,124,Partial,0.764,—,62°54′N 174°12′E﻿ / ﻿62.9°N 174.2°E,—,—,"Partial: Russia, China, Mongolia, Japan",[a][10],
"May 11, 2059",19:22:16,129,Total,1.024,2:23,10°42′S 100°24′W﻿ / ﻿10.7°S 100.4°W,95,59,"Total: central Pacific, Ecuador, Peru, Brazil Partial: North, Central and South America",[a][10],
"November 5, 2059",09:18:15,134,Annular,0.942,7:00,8°42′N 47°06′E﻿ / ﻿8.7°N 47.1°E,238,148,"Annular: France, Libya, Egypt, Sudan, Ethiopia, Eritrea, Somalia, Indonesia Partial: Africa, Europe, Asia",[a][10],
"April 30, 2060",10:10:00,139,Total,1.066,5:15,28°00′N 20°54′E﻿ / ﻿28.0°N 20.9°E,222,138,"Total: Ivory Coast, Ghana, Togo, Benin, Nigeria, Niger, Chad, Libya, Egypt, Turkey, Kazakhstan, Russia Partial: Africa, Asia",[a][10],
"October 24, 2060",09:24:10,144,Annular,0.928,8:06,25°48′S 28°06′E﻿ / ﻿25.8°S 28.1°E,281,175,"Annular: Guinea, Sierra Leone, Liberia, Ivory Coast, Angola, Namibia, Botswana, South Africa Partial: Africa, Antarctica, South America",[a][10],
"April 20, 2061",02:56:49,149,Total,1.048,2:37,64°30′N 59°12′E﻿ / ﻿64.5°N 59.2°E,559,347,"Total: Eastern Ukraine, Russia, western Kazakhstan, Svalbard Partial: Eastern Europe, Asia, Middle East, North America",[a][11],
"October 13, 2061",10:32:10,154,Annular,0.947,3:41,62°06′S 54°24′W﻿ / ﻿62.1°S 54.4°W,743,462,"Annular: Antarctica, Argentina, Chile Partial: South America",[a][11],
"March 11, 2062",04:26:16,121,Partial,0.933,—,61°00′S 147°06′W﻿ / ﻿61.0°S 147.1°W,—,—,"Partial: Antarctica, Australia, New Zealand",[a][11],
"September 3, 2062",08:54:27,126,Partial,0.975,—,61°18′N 150°18′E﻿ / ﻿61.3°N 150.3°E,—,—,"Partial: Greenland, Europe, Asia",[a][11],
"February 28, 2063",07:43:30,131,Annular,0.929,7:41,25°12′S 77°42′E﻿ / ﻿25.2°S 77.7°E,280,170,"Annular: Indian Ocean, Indonesia, Malaysia, Mindanao, Philippines Partial: Africa, Indies, southeast Asia, the rest of Philippines, Antarctica, Australia",[a][11],
"August 24, 2063",01:22:11,136,Total,1.075,5:49,25°36′N 168°24′E﻿ / ﻿25.6°N 168.4°E,252,157,"Total: China, Mongolia, Japan, central Pacific Partial: Asia, central Pacific",[a][11],
"February 17, 2064",07:00:23,141,Annular,0.926,8:56,7°00′N 69°42′E﻿ / ﻿7.0°N 69.7°E,295,183,"Annular: Zaire, Zambia, Tanzania, India, Nepal, Bangladesh, Bhutan, China Partial: Africa, Asia",[a][11],
"August 12, 2064",17:46:06,146,Total,1.049,4:28,10°54′S 96°00′W﻿ / ﻿10.9°S 96.0°W,184,114,"Total: Central Pacific, Chile, Argentina Partial: Americas, Antarctica",[a][11],
"February 5, 2065",09:52:26,151,Partial,0.912,—,62°12′N 21°54′W﻿ / ﻿62.2°N 21.9°W,—,—,"Partial: North America, Europe, West Asia",[a][11],
"July 3, 2065",17:33:52,118,Partial,0.164,—,64°48′N 71°54′E﻿ / ﻿64.8°N 71.9°E,—,—,"Partial: northern Europe, Russia",[a][11],
"August 2, 2065",05:34:17,156,Partial,0.49,—,62°42′S 46°30′E﻿ / ﻿62.7°S 46.5°E,—,—,"Partial: Antarctica, South Africa, Madagascar",[a][11],
"December 27, 2065",08:39:56,123,Partial,0.877,—,65°24′S 149°12′W﻿ / ﻿65.4°S 149.2°W,—,—,"Partial: Chile, Argentina, Antarctica, Australia",[a][11],
"June 22, 2066",19:25:48,128,Annular,0.943,4:40,70°06′N 96°24′W﻿ / ﻿70.1°N 96.4°W,309,192,"Annular: Russia, Alaska, Canada Partial: North America, northern Europe, north Asia",[a][11],
"December 17, 2066",00:23:40,133,Total,1.042,3:14,47°24′S 175°48′E﻿ / ﻿47.4°S 175.8°E,152,94,"Total: Australia, New Zealand, south PacificPartial: Australia, Antarctica, New Zealand",[a][11],
"June 11, 2067",20:42:26,138,Annular,0.967,4:05,21°00′N 130°12′W﻿ / ﻿21.0°N 130.2°W,119,74,"Annular: central Pacific, Ecuador, PeruPartial: Americas",[a][11],
"December 6, 2067",14:03:43,143,Hybrid,1.001,0:08,6°00′S 32°24′W﻿ / ﻿6.0°S 32.4°W,4,2.5,"Hybrid: Honduras, Nicaragua, Colombia, Venezuela, Guyana, Brazil, Nigeria, Cameroon, Chad, Sudan Partial: Americas, Africa, south Europe",[a][11],
"May 31, 2068",03:56:39,148,Total,1.011,1:06,31°00′S 123°12′E﻿ / ﻿31.0°S 123.2°E,63,39,"Total: Australia, New ZealandPartial: Indies, Australia, Antarctica",[a][11],
"November 24, 2068",21:32:30,153,Partial,0.911,—,68°30′N 131°06′W﻿ / ﻿68.5°N 131.1°W,—,—,"Partial: North America, Russia",[a][11],
"April 21, 2069",10:11:09,120,Partial,0.899,—,71°00′N 101°18′W﻿ / ﻿71.0°N 101.3°W,—,—,"Partial: Europe, Asia, north Africa, North America",[a][11],
"May 20, 2069",17:53:18,158,Partial,0.088,—,68°48′S 69°54′W﻿ / ﻿68.8°S 69.9°W,—,—,"Partial: South America, Antarctica",[a][11],
"October 15, 2069",04:19:56,125,Partial,0.53,—,71°36′S 5°30′W﻿ / ﻿71.6°S 5.5°W,—,—,Partial: Antarctica,[a][11],
"April 11, 2070",02:36:09,130,Total,1.047,4:04,29°06′N 135°06′E﻿ / ﻿29.1°N 135.1°E,168,104,"Total: Sri Lanka, Myanmar, Thailand, Laos, Vietnam, PhilippinesPartial: Asia, Indies, Alaska, Canada",[a][11],
"October 4, 2070",07:08:57,135,Annular,0.973,2:44,32°48′S 60°24′E﻿ / ﻿32.8°S 60.4°E,110,68,"Annular: Angola, Zambia, Zimbabwe, Mozambique, Madagascar Partial: Africa, Antarctica, Australia",[a][11],
"March 31, 2071",15:01:06,140,Annular,0.992,0:52,16°42′S 37°00′W﻿ / ﻿16.7°S 37.0°W,31,19,"Annular: Chile, Argentina, Paraguay, Brazil, Republic of the Congo, Zaire Partial: South America, Africa, Antarctica",[a][12],
"September 23, 2071",17:20:28,145,Total,1.033,3:11,14°12′N 76°42′W﻿ / ﻿14.2°N 76.7°W,116,72,"Total: Mexico, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil Partial: Americas, Africa",[a][12],
"March 19, 2072",20:10:31,150,Partial,0.72,—,72°12′S 30°24′W﻿ / ﻿72.2°S 30.4°W,—,—,"Partial: Antarctica, South America",[a][12],
"September 12, 2072",08:59:20,155,Total,1.056,3:13,69°48′N 102°00′E﻿ / ﻿69.8°N 102.0°E,732,455,"Total: RussiaPartial: Greenland, Europe, Asia",[a][12],
"February 7, 2073",01:55:59,122,Partial,0.677,—,70°30′N 114°54′E﻿ / ﻿70.5°N 114.9°E,—,—,"Partial: Asia, Alaska",[a][12],
"August 3, 2073",17:15:23,127,Total,1.029,2:29,43°12′S 89°24′W﻿ / ﻿43.2°S 89.4°W,206,128,"Total: Chile, ArgentinaPartial: South America, Antarctica",[a][12],
"January 27, 2074",06:44:15,132,Annular,0.98,2:21,6°36′N 78°48′E﻿ / ﻿6.6°N 78.8°E,79,49,"Annular: Sudan, Ethiopia, Somalia, Sri Lanka, Myanmar, Thailand, Laos, Vietnam, China, JapanPartial: Africa, Asia, Indies",[a][12],
"July 24, 2074",03:10:32,137,Annular,0.984,1:57,12°48′N 133°42′E﻿ / ﻿12.8°N 133.7°E,58,36,"Annular: Thailand, Cambodia, Vietnam, PhilippinesPartial: Asia, Indies, Australia, New Zealand",[a][12],
"January 16, 2075",18:36:04,142,Total,1.031,2:42,37°12′S 94°06′W﻿ / ﻿37.2°S 94.1°W,110,68,"Total: Chile, Argentina, Paraguay, BrazilPartial: New Zealand, South America, Antarctica",[a][12],
"July 13, 2075",06:05:44,147,Annular,0.947,4:45,63°06′N 95°12′E﻿ / ﻿63.1°N 95.2°E,262,163,"Annular: south Europe, RussiaPartial: Europe, Asia, Africa, north North America",[a][12],
"January 6, 2076",10:07:27,152,Total,1.034,1:49,87°12′S 173°42′W﻿ / ﻿87.2°S 173.7°W,340,210,"Total: AntarcticaPartial: Australia, South America",[a][12],
"June 1, 2076",17:31:22,119,Partial,0.29,—,64°24′S 51°12′W﻿ / ﻿64.4°S 51.2°W,—,—,"Partial: South America, Antarctica",[a][12],
"July 1, 2076",06:50:43,157,Partial,0.275,—,67°00′N 98°06′W﻿ / ﻿67.0°N 98.1°W,—,—,"Partial: Russia, North America",[a][12],
"November 26, 2076",11:43:01,124,Partial,0.731,—,63°42′N 40°06′E﻿ / ﻿63.7°N 40.1°E,—,—,"Partial: Africa, Europe, west Asia",[a][12],
"May 22, 2077",02:46:05,129,Total,1.029,2:54,13°06′S 148°18′E﻿ / ﻿13.1°S 148.3°E,119,74,"Total: AustraliaPartial: Indies, Australia, New Zealand, Antarctica",[a][12],
"November 15, 2077",17:07:56,134,Annular,0.937,7:54,7°48′N 70°48′W﻿ / ﻿7.8°N 70.8°W,262,163,"Annular: United States, Caribbean, Colombia, Venezuela, Brazil, Guyana, Suriname, French Guiana Partial: Americas",[a][12],
"May 11, 2078",17:56:55,139,Total,1.07,5:40,28°06′N 93°42′W﻿ / ﻿28.1°N 93.7°W,232,144,"Total: Mexico, United StatesPartial: Americas",[a][12],
"November 4, 2078",16:55:44,144,Annular,0.926,8:29,27°48′S 83°18′W﻿ / ﻿27.8°S 83.3°W,287,178,"Annular: Chile, ArgentinaPartial: Americas, Antarctica",[a][12],
"May 1, 2079",10:50:13,149,Total,1.051,2:55,66°12′N 46°18′W﻿ / ﻿66.2°N 46.3°W,406,252,"Total: United States, Canada, GreenlandPartial: west Americas, Europe, Africa, Asia",[a][12],
"October 24, 2079",18:11:21,154,Annular,0.948,3:39,63°24′S 160°36′W﻿ / ﻿63.4°S 160.6°W,495,308,"Annular: Antarctica, New ZealandPartial: South America",[a][12],
"March 21, 2080",12:20:15,121,Partial,0.873,—,60°54′S 85°54′E﻿ / ﻿60.9°S 85.9°E,—,—,"Partial: Antarctica, Africa",[a][12],
"September 13, 2080",16:38:09,126,Partial,0.874,—,61°06′N 25°48′E﻿ / ﻿61.1°N 25.8°E,—,—,"Partial: North America, Europe, Africa",[a][12],
"March 10, 2081",15:23:31,131,Annular,0.93,7:36,22°24′S 36°42′W﻿ / ﻿22.4°S 36.7°W,277,172,"Annular: Chile, Argentina, Ivory Coast, Ghana, Togo, Benin, Nigeria, CameroonPartial: South America, Africa, Antarctica",[a][13],
"September 3, 2081",09:07:31,136,Total,1.072,5:33,24°36′N 53°36′E﻿ / ﻿24.6°N 53.6°E,247,153,"Total: Central Europe, France, Switzerland, Austria, Slovenia, Hungary, Croatia, Serbia, Romania, Greece, Bulgaria, Turkey, Syria, Iraq, Kuwait, Qatar, UAE, Saudi Arabia, OmanPartial: Africa, Europe, Asia",[a][13],
"February 27, 2082",14:47:00,141,Annular,0.93,8:12,9°24′N 47°06′W﻿ / ﻿9.4°N 47.1°W,277,172,"Annular: Peru, Brazil, Suriname, French Guiana, Portugal, Spain, France, Italy, Germany, AustriaPartial: Americas, Europe, Africa",[a][13],
"August 24, 2082",01:16:21,146,Total,1.045,4:01,10°18′S 151°48′E﻿ / ﻿10.3°S 151.8°E,163,101,"Total: Indonesia, New Guinea, South PacificPartial: Indies, Australia, Antarctica, New Zealand",[a][13],
"February 16, 2083",18:06:36,151,Partial,0.943,—,61°36′N 154°06′W﻿ / ﻿61.6°N 154.1°W,—,—,"Partial: Mexico, United States, Canada",[a][13],
"July 15, 2083",00:14:23,118,Partial,0.017,—,64°00′N 37°42′W﻿ / ﻿64.0°N 37.7°W,—,—,Partial: Greenland,[a][13],
"August 13, 2083",12:34:41,156,Partial,0.615,—,62°06′S 67°30′W﻿ / ﻿62.1°S 67.5°W,—,—,"Partial: South America, Antarctica",[a][13],
"January 7, 2084",17:30:23,123,Partial,0.872,—,64°24′S 68°30′E﻿ / ﻿64.4°S 68.5°E,—,—,"Partial: Antarctica, South America",[a][13],
"July 3, 2084",01:50:26,128,Annular,0.942,4:25,75°00′N 169°06′W﻿ / ﻿75.0°N 169.1°W,377,234,"Annular: Russia, United States, CanadaPartial: northern Europe, Asia, North America",[a][13],
"December 27, 2084",09:13:48,133,Total,1.04,3:04,47°18′S 47°42′E﻿ / ﻿47.3°S 47.7°E,146,91,"Total: South Atlantic, Indian Ocean Partial: Africa, Antarctica, Australia",[a][13],
"June 22, 2085",03:21:16,138,Annular,0.97,3:29,26°12′N 131°18′E﻿ / ﻿26.2°N 131.3°E,106,66,"Annular: India, Myanmar, China, central PacificPartial: Asia, Indies, Australia",[a][13],
"December 16, 2085",22:37:48,143,Annular,0.997,0:19,7°18′S 160°48′W﻿ / ﻿7.3°S 160.8°W,10,6.2,"Annular: central PacificPartial: Australia, North America",[a][13],
"June 11, 2086",11:07:14,148,Total,1.017,1:48,23°12′S 12°30′E﻿ / ﻿23.2°S 12.5°E,86,53,"Total: Namibia, Botswana, South AfricaPartial: South America, Africa",[a][13],
"December 6, 2086",05:38:55,153,Partial,0.927,—,67°24′N 96°12′E﻿ / ﻿67.4°N 96.2°E,—,—,Partial: Asia,[a][13],
"May 2, 2087",18:04:42,120,Partial,0.801,—,70°18′N 127°36′E﻿ / ﻿70.3°N 127.6°E,—,—,"Partial: north Europe, north Asia, North America",[a][13],
"June 1, 2087",01:27:14,158,Partial,0.215,—,67°48′S 165°24′E﻿ / ﻿67.8°S 165.4°E,—,—,Partial: New Zealand,[a][13],
"October 26, 2087",11:46:57,125,Partial,0.47,—,71°00′S 130°30′W﻿ / ﻿71.0°S 130.5°W,—,—,"Partial: South America, Antarctica",[a][13],
"April 21, 2088",10:31:49,130,Total,1.047,3:58,36°00′N 15°06′E﻿ / ﻿36.0°N 15.1°E,173,107,"Total: Mauritania, western Sahara, Mali, Algeria, Tunisia, Greece, Turkey, Russia, Kazakhstan, ChinaPartial: North America, Africa, Europe, Asia",[a][13],
"October 14, 2088",14:48:05,135,Annular,0.973,2:38,39°42′S 56°00′W﻿ / ﻿39.7°S 56.0°W,115,71,"Annular: Chile, ArgentinaPartial: South America, Antarctica, Africa",[a][13],
"April 10, 2089",22:44:42,140,Annular,0.992,0:53,10°12′S 154°48′W﻿ / ﻿10.2°S 154.8°W,30,19,"Annular: Australia, central PacificPartial: Antarctica, North America",[a][13],
"October 4, 2089",01:15:23,145,Total,1.033,3:14,7°24′N 162°48′E﻿ / ﻿7.4°N 162.8°E,115,71,"Total: China, Central PacificPartial: Asia, Indies, Australia",[a][13],
"March 31, 2090",03:38:08,150,Partial,0.784,—,72°06′S 156°18′W﻿ / ﻿72.1°S 156.3°W,—,—,"Partial: Antarctica, Australia, New Zealand",[a][13],
"September 23, 2090",16:56:36,155,Total,1.056,3:36,60°42′N 40°30′W﻿ / ﻿60.7°N 40.5°W,463,288,"Total: Canada, Greenland, United Kingdom, FrancePartial: North America, Europe, Africa, north Asia",[a][13],
"February 18, 2091",09:54:40,122,Partial,0.656,—,71°12′N 17°48′W﻿ / ﻿71.2°N 17.8°W,—,—,"Partial: North Africa, Europe, Asia",[a][14],
"August 15, 2091",00:34:43,127,Total,1.022,1:38,55°36′S 150°30′E﻿ / ﻿55.6°S 150.5°E,236,147,"Total: southern Antarctic Ocean, near Antarctica Partial: Australia, Antarctica, New Zealand",[a][14],
"February 7, 2092",15:10:20,132,Annular,0.984,1:48,9°54′N 48°42′W﻿ / ﻿9.9°N 48.7°W,62,39,"Annular: Panama, Colombia, Venezuela, Guyana, Morocco, AlgeriaPartial: Americas, Europe, Africa",[a][14],
"August 3, 2092",09:59:33,137,Annular,0.979,2:31,5°36′N 30°18′E﻿ / ﻿5.6°N 30.3°E,75,47,"Annular: Liberia, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, Sudan, Kenya, SomaliaPartial: Africa",[a][14],
"January 27, 2093",03:22:16,142,Total,1.034,2:58,34°06′S 136°24′E﻿ / ﻿34.1°S 136.4°E,119,74,"Total: AustraliaPartial: Indies, Australia, Antarctica, New Zealand",[a][14],
"July 23, 2093",12:32:04,147,Annular,0.946,5:11,54°36′N 1°18′E﻿ / ﻿54.6°N 1.3°E,241,150,"Annular: United States, Canada, Central Europe, Turkey, Iraq, Iran, Afghanistan, Pakistan Partial: Americas, Europe, Africa, Asia",[a][14],
"January 16, 2094",18:59:03,152,Total,1.034,1:51,84°48′S 10°36′W﻿ / ﻿84.8°S 10.6°W,329,204,"Total: AntarcticaPartial: South America, Antarctica, New Zealand",[a][14],
"June 13, 2094",00:22:11,119,Partial,0.162,—,65°18′S 163°36′W﻿ / ﻿65.3°S 163.6°W,—,—,"Partial: southern Antarctic Ocean, near Antarctica",[a][14],
"July 12, 2094",13:24:35,157,Partial,0.422,—,68°00′N 152°48′E﻿ / ﻿68.0°N 152.8°E,—,—,"Partial: North America, Asia",[a][14],
"December 7, 2094",20:05:56,124,Partial,0.705,—,64°42′N 95°00′W﻿ / ﻿64.7°N 95.0°W,—,—,Partial: North America,[a][14],
"June 2, 2095",10:07:40,129,Total,1.033,3:18,16°42′S 37°12′E﻿ / ﻿16.7°S 37.2°E,145,90,"Total: Namibia, South Africa, Botswana, Zambia, Mozambique, Madagascar Partial: Africa",[a][14],
"November 27, 2095",01:02:57,134,Annular,0.933,8:47,7°12′N 169°48′E﻿ / ﻿7.2°N 169.8°E,285,177,"Annular: China, Korea, Japan, central Pacific Partial: Asia, Indies, Australia",[a][14],
"May 22, 2096",01:37:14,139,Total,1.074,6:07,27°18′N 153°24′E﻿ / ﻿27.3°N 153.4°E,241,150,"Total: Indonesia, Central Pacific, Philippines Partial: Asia, Indies, Australia, North America",[a][14],
"November 15, 2096",00:36:15,144,Annular,0.924,8:53,29°42′S 163°18′E﻿ / ﻿29.7°S 163.3°E,294,183,"Annular: Malaysia, Indonesia, New Guinea, Australia, New ZealandPartial: Indies, Antarctica",[a][14],
"May 11, 2097",18:34:31,149,Total,1.054,3:10,67°24′N 149°30′W﻿ / ﻿67.4°N 149.5°W,339,211,"Total: Alaska, RussiaPartial: Asia, North America, northern Europe",[a][14],
"November 4, 2097",02:01:25,154,Annular,0.949,3:36,65°48′S 86°48′E﻿ / ﻿65.8°S 86.8°E,411,255,Annular: AntarcticaPartial: Australia,[a][14],
"April 1, 2098",20:02:31,121,Partial,0.798,—,61°00′S 38°06′W﻿ / ﻿61.0°S 38.1°W,—,—,"Partial: Antarctica, South America",[a][14],
"September 25, 2098",00:31:16,126,Partial,0.787,—,61°06′N 101°00′W﻿ / ﻿61.1°N 101.0°W,—,—,"Partial: Asia, North America",[a][14],
"October 24, 2098",10:36:11,164,Partial,0.006,—,61°48′S 95°30′W﻿ / ﻿61.8°S 95.5°W,—,—,"Partial: southern Antarctic Ocean, near Antarctica",[a][14],
"March 21, 2099",22:54:32,131,Annular,0.932,7:32,20°00′S 149°00′W﻿ / ﻿20.0°S 149.0°W,275,171,"Annular: central PacificPartial: Australia, New Zealand, Antarctica, North America",[a][14],
"September 14, 2099",16:57:53,136,Total,1.068,5:18,23°24′N 62°48′W﻿ / ﻿23.4°N 62.8°W,241,150,"Total: Canada, United States, central Atlantic Partial: Americas, Africa",[a][14],
"March 10, 2100",22:28:11,141,Annular,0.934,7:29,12°00′N 162°24′W﻿ / ﻿12.0°N 162.4°W,257,160,"Annular: central Pacific, Hawaii, Northwestern United StatesPartial: Australia, North America",[a][14],
"September 4, 2100",08:49:20,146,Total,1.04,3:32,10°30′S 39°00′E﻿ / ﻿10.5°S 39.0°E,142,88,"Total: central Africa, MadagascarPartial: Africa, Antarctica",[a][14],
